[INFO] APPS1: 453	APPS2: 322	[INFO] Travel : 68.93
[INFO] APPS1: 518	APPS2: 388	[INFO] Travel : 54.89
[INFO] APPS1: 536	APPS2: 406	[INFO] Travel : 51.07
[INFO] APPS1: 551	APPS2: 421	[INFO] Travel : 47.87
[INFO] APPS1: 562	APPS2: 433	[INFO] Travel : 45.32
[INFO] APPS1: 572	APPS2: 443	[INFO] Travel : 43.19
[INFO] APPS1: 582	APPS2: 453	[INFO] Travel : 41.07
[INFO] APPS1: 593	APPS2: 464	[INFO] Travel : 38.72
[INFO] APPS1: 609	APPS2: 480	[INFO] Travel : 35.32
[INFO] APPS1: 631	APPS2: 503	[INFO] Travel : 30.42
[INFO] APPS1: 661	APPS2: 533	[INFO] Travel : 24.04
[INFO] APPS1: 695	APPS2: 568	[INFO] Travel : 16.60
[INFO] APPS1: 724	APPS2: 608	[INFO] Travel : 8.09
[INFO] APPS1: 749	APPS2: 649	[INFO] Travel : 0.00
[INFO] APPS1: 769	APPS2: 686	[INFO] Travel : 0.00
[INFO] APPS1: 781	APPS2: 716	[INFO] Travel : 0.00
[INFO] APPS1: 786	APPS2: 740	[INFO] Travel : 0.00
[INFO] APPS1: 786	APPS2: 756	[INFO] Travel : 0.00
[INFO] APPS1: 788	APPS2: 766	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 770	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 789	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 789	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 789	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 789	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 789	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 789	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
